ID	Gene Name	Species	GOTERM_CC_DIRECT
ENSG00000132359	RAP1 GTPase activating protein 2(RAP1GAP2)	Homo sapiens	GO:0005737~cytoplasm,GO:0005813~centrosome,GO:0005829~cytosol,GO:0005886~plasma membrane,GO:0031965~nuclear membrane,GO:0043005~neuron projection,GO:0048471~perinuclear region of cytoplasm,
ENSG00000076864	RAP1 GTPase activating protein(RAP1GAP)	Homo sapiens	GO:0000139~Golgi membrane,GO:0005769~early endosome,GO:0005829~cytosol,GO:0016020~membrane,GO:0030424~axon,GO:0030425~dendrite,GO:0043025~neuronal cell body,
ENSG00000127314	RAP1B, member of RAS oncogene family(RAP1B)	Homo sapiens	GO:0005622~intracellular,GO:0005811~lipid particle,GO:0005829~cytosol,GO:0005886~plasma membrane,GO:0005911~cell-cell junction,GO:0016020~membrane,GO:0045121~membrane raft,GO:0070062~extracellular exosome,
ENSG00000125249	RAP2A, member of RAS oncogene family(RAP2A)	Homo sapiens	GO:0005622~intracellular,GO:0005829~cytosol,GO:0005886~plasma membrane,GO:0016020~membrane,GO:0030496~midbody,GO:0055037~recycling endosome,GO:0055038~recycling endosome membrane,GO:0070062~extracellular exosome,
ENSG00000123728	RAP2C, member of RAS oncogene family(RAP2C)	Homo sapiens	GO:0005622~intracellular,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0005886~plasma membrane,GO:0005923~bicellular tight junction,GO:0016020~membrane,GO:0044291~cell-cell contact zone,GO:0055038~recycling endosome membrane,GO:0070062~extracellular exosome,
ENSG00000198963	RAR related orphan receptor B(RORB)	Homo sapiens	GO:0005634~nucleus,GO:0005654~nucleoplasm,
ENSG00000165105	RAS and EF-hand domain containing(RASEF)	Homo sapiens	GO:0048471~perinuclear region of cytoplasm,
ENSG00000172575	RAS guanyl releasing protein 1(RASGRP1)	Homo sapiens	GO:0000139~Golgi membrane,GO:0005622~intracellular,GO:0005789~endoplasmic reticulum membrane,GO:0005794~Golgi apparatus,GO:0005829~cytosol,GO:0005886~plasma membrane,GO:0016020~membrane,GO:0042629~mast cell granule,
ENSG00000068831	RAS guanyl releasing protein 2(RASGRP2)	Homo sapiens	GO:0005622~intracellular,GO:0005829~cytosol,GO:0005886~plasma membrane,GO:0030054~cell junction,GO:0032587~ruffle membrane,GO:0043005~neuron projection,GO:0045202~synapse,
ENSG00000152689	RAS guanyl releasing protein 3(RASGRP3)	Homo sapiens	GO:0005622~intracellular,GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0032045~guanyl-nucleotide exchange factor complex,GO:0048471~perinuclear region of cytoplasm,
ENSG00000171777	RAS guanyl releasing protein 4(RASGRP4)	Homo sapiens	GO:0005622~intracellular,GO:0005829~cytosol,GO:0005886~plasma membrane,GO:0016020~membrane,
ENSG00000134533	RAS like estrogen regulated growth inhibitor(RERG)	Homo sapiens	GO:0005622~intracellular,GO:0005634~nucleus,GO:0005829~cytosol,GO:0016020~membrane,
ENSG00000100276	RAS like family 10 member A(RASL10A)	Homo sapiens	GO:0005622~intracellular,GO:0005730~nucleolus,GO:0005886~plasma membrane,GO:0016020~membrane,
ENSG00000270885	RAS like family 10 member B(RASL10B)	Homo sapiens	GO:0005622~intracellular,GO:0005886~plasma membrane,
ENSG00000122035	RAS like family 11 member A(RASL11A)	Homo sapiens	GO:0005730~nucleolus,GO:0016020~membrane,
ENSG00000128045	RAS like family 11 member B(RASL11B)	Homo sapiens	GO:0005622~intracellular,GO:0016020~membrane,
ENSG00000103710	RAS like family 12(RASL12)	Homo sapiens	GO:0005622~intracellular,GO:0016020~membrane,
ENSG00000144118	RAS like proto-oncogene B(RALB)	Homo sapiens	GO:0000145~exocyst,GO:0005622~intracellular,GO:0005776~autophagosome,GO:0005886~plasma membrane,GO:0030496~midbody,GO:0070062~extracellular exosome,
ENSG00000145715	RAS p21 protein activator 1(RASA1)	Homo sapiens	GO:0001726~ruffle,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0031235~intrinsic component of the cytoplasmic side of the plasma membrane,
ENSG00000155903	RAS p21 protein activator 2(RASA2)	Homo sapiens	GO:0005622~intracellular,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0031235~intrinsic component of the cytoplasmic side of the plasma membrane,GO:0048471~perinuclear region of cytoplasm,
ENSG00000185989	RAS p21 protein activator 3(RASA3)	Homo sapiens	GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0031235~intrinsic component of the cytoplasmic side of the plasma membrane,
ENSG00000105808	RAS p21 protein activator 4(RASA4)	Homo sapiens	GO:0005622~intracellular,GO:0005829~cytosol,GO:0005886~plasma membrane,GO:0031235~intrinsic component of the cytoplasmic side of the plasma membrane,
ENSG00000111344	RAS protein activator like 1(RASAL1)	Homo sapiens	GO:0005622~intracellular,GO:0005829~cytosol,GO:0005886~plasma membrane,GO:0031235~intrinsic component of the cytoplasmic side of the plasma membrane,
ENSG00000075391	RAS protein activator like 2(RASAL2)	Homo sapiens	GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0031235~intrinsic component of the cytoplasmic side of the plasma membrane,
ENSG00000105122	RAS protein activator like 3(RASAL3)	Homo sapiens	GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0005938~cell cortex,GO:0016020~membrane,GO:0031235~intrinsic component of the cytoplasmic side of the plasma membrane,GO:0070062~extracellular exosome,GO:0098562~cytoplasmic side of membrane,
ENSG00000100302	RASD family member 2(RASD2)	Homo sapiens	GO:0005622~intracellular,GO:0005886~plasma membrane,
ENSG00000117222	RB binding protein 5, histone lysine methyltransferase complex subunit(RBBP5)	Homo sapiens	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005730~nucleolus,GO:0035097~histone methyltransferase complex,GO:0044666~MLL3/4 complex,GO:0048188~Set1C/COMPASS complex,GO:0071339~MLL1 complex,
ENSG00000122257	RB binding protein 6, ubiquitin ligase(RBBP6)	Homo sapiens	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005694~chromosome,GO:0005730~nucleolus,GO:0005815~microtubule organizing center,GO:0005829~cytosol,
ENSG00000102054	RB binding protein 7, chromatin remodeling factor(RBBP7)	Homo sapiens	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0016581~NuRD complex,GO:0035098~ESC/E(Z) complex,
ENSG00000080839	RB transcriptional corepressor like 1(RBL1)	Homo sapiens	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005667~transcription factor complex,
ENSG00000103479	RB transcriptional corepressor like 2(RBL2)	Homo sapiens	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005667~transcription factor complex,GO:0005730~nucleolus,GO:0005737~cytoplasm,GO:0070062~extracellular exosome,
ENSG00000023287	RB1 inducible coiled-coil 1(RB1CC1)	Homo sapiens	GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0031965~nuclear membrane,GO:0034045~pre-autophagosomal structure membrane,GO:1990316~ATG1/ULK1 kinase complex,
ENSG00000139405	RBPJ interacting and tubulin associated 1(RITA1)	Homo sapiens	GO:0005622~intracellular,GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005813~centrosome,
ENSG00000117602	RCAN family member 3(RCAN3)	Homo sapiens	GO:0005622~intracellular,GO:0005737~cytoplasm,
ENSG00000136144	RCC1 and BTB domain containing protein 1(RCBTB1)	Homo sapiens	GO:0005634~nucleus,GO:0005737~cytoplasm,
ENSG00000136161	RCC1 and BTB domain containing protein 2(RCBTB2)	Homo sapiens	GO:0001669~acrosomal vesicle,
ENSG00000166965	RCC1 domain containing 1(RCCD1)	Homo sapiens	GO:0005737~cytoplasm,GO:0005886~plasma membrane,
ENSG00000198771	RCSD domain containing 1(RCSD1)	Homo sapiens	GO:0005884~actin filament,
ENSG00000084093	RE1 silencing transcription factor(REST)	Homo sapiens	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005829~cytosol,GO:0017053~transcriptional repressor complex,
ENSG00000162924	REL proto-oncogene, NF-kB subunit(REL)	Homo sapiens	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005667~transcription factor complex,GO:0005829~cytosol,GO:0033256~I-kappaB/NF-kappaB complex,
ENSG00000173039	RELA proto-oncogene, NF-kB subunit(RELA)	Homo sapiens	GO:0000790~nuclear chromatin,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005667~transcription factor complex,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0033256~I-kappaB/NF-kappaB complex,GO:0071159~NF-kappaB complex,
ENSG00000164620	RELT like 2(RELL2)	Homo sapiens	GO:0005604~basement membrane,GO:0005886~plasma membrane,GO:0016021~integral component of membrane,
ENSG00000132881	REM2 and RAB like small GTPase 1(RSG1)	Homo sapiens	GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0036064~ciliary basal body,
ENSG00000167771	REST corepressor 2(RCOR2)	Homo sapiens	GO:0005634~nucleus,GO:0005667~transcription factor complex,GO:0017053~transcriptional repressor complex,
ENSG00000135945	REV1, DNA directed polymerase(REV1)	Homo sapiens	GO:0005634~nucleus,GO:0005654~nucleoplasm,
ENSG00000148300	REX4 homolog, 3'-5' exonuclease(REXO4)	Homo sapiens	GO:0005634~nucleus,GO:0005730~nucleolus,
ENSG00000169733	RFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase(RFNG)	Homo sapiens	GO:0005576~extracellular region,GO:0016020~membrane,GO:0030173~integral component of Golgi membrane,GO:0070062~extracellular exosome,
ENSG00000163933	RFT1 homolog(RFT1)	Homo sapiens	GO:0005789~endoplasmic reticulum membrane,GO:0016021~integral component of membrane,
ENSG00000196460	RFX family member 8, lacking RFX DNA binding domain(RFX8)	Homo sapiens	GO:0005634~nucleus,
ENSG00000107185	RGP1 homolog, RAB6A GEF complex partner 1(RGP1)	Homo sapiens	GO:0000139~Golgi membrane,GO:0005829~cytosol,GO:0016020~membrane,GO:0032588~trans-Golgi network membrane,GO:0034066~RIC1-RGP1 guanyl-nucleotide exchange factor complex,GO:0043234~protein complex,
ENSG00000128408	RIB43A domain with coiled-coils 2(RIBC2)	Homo sapiens	GO:0005634~nucleus,
ENSG00000107036	RIC1 homolog, RAB6A GEF complex partner 1(RIC1)	Homo sapiens	GO:0000139~Golgi membrane,GO:0005829~cytosol,GO:0016020~membrane,GO:0016021~integral component of membrane,GO:0032588~trans-Golgi network membrane,GO:0034066~RIC1-RGP1 guanyl-nucleotide exchange factor complex,GO:0043234~protein complex,
ENSG00000166405	RIC3 acetylcholine receptor chaperone(RIC3)	Homo sapiens	GO:0000139~Golgi membrane,GO:0005789~endoplasmic reticulum membrane,GO:0016021~integral component of membrane,GO:0043005~neuron projection,GO:0043025~neuronal cell body,GO:0043231~intracellular membrane-bounded organelle,
ENSG00000111785	RIC8 guanine nucleotide exchange factor B(RIC8B)	Homo sapiens	GO:0005737~cytoplasm,GO:0005813~centrosome,GO:0005829~cytosol,GO:0005886~plasma membrane,GO:0005938~cell cortex,
ENSG00000060709	RIMS binding protein 2(RIMBP2)	Homo sapiens	GO:0005886~plasma membrane,GO:0030054~cell junction,GO:0045202~synapse,
ENSG00000124784	RIO kinase 1(RIOK1)	Homo sapiens	GO:0005654~nucleoplasm,GO:0005829~cytosol,
ENSG00000058729	RIO kinase 2(RIOK2)	Homo sapiens	GO:0005654~nucleoplasm,GO:0005829~cytosol,
ENSG00000101782	RIO kinase 3(RIOK3)	Homo sapiens	GO:0005829~cytosol,
ENSG00000100220	RNA 2',3'-cyclic phosphate and 5'-OH ligase(RTCB)	Homo sapiens	GO:0005634~nucleus,GO:0005635~nuclear envelope,GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0005789~endoplasmic reticulum membrane,GO:0072669~tRNA-splicing ligase complex,
ENSG00000137996	RNA 3'-terminal phosphate cyclase(RTCA)	Homo sapiens	GO:0005634~nucleus,GO:0005654~nucleoplasm,
ENSG00000185272	RNA binding motif protein 11(RBM11)	Homo sapiens	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0016607~nuclear speck,
ENSG00000259956	RNA binding motif protein 15B(RBM15B)	Homo sapiens	GO:0005654~nucleoplasm,GO:0005730~nucleolus,GO:0016021~integral component of membrane,
ENSG00000134453	RNA binding motif protein 17(RBM17)	Homo sapiens	GO:0005681~spliceosomal complex,GO:0043234~protein complex,
ENSG00000122965	RNA binding motif protein 19(RBM19)	Homo sapiens	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005694~chromosome,GO:0005730~nucleolus,GO:0005737~cytoplasm,GO:0016020~membrane,
ENSG00000203867	RNA binding motif protein 20(RBM20)	Homo sapiens	GO:0005634~nucleus,
ENSG00000112183	RNA binding motif protein 24(RBM24)	Homo sapiens	GO:0005634~nucleus,GO:0005737~cytoplasm,
ENSG00000106344	RNA binding motif protein 28(RBM28)	Homo sapiens	GO:0005681~spliceosomal complex,GO:0005730~nucleolus,
ENSG00000132819	RNA binding motif protein 38(RBM38)	Homo sapiens	GO:0005634~nucleus,GO:0005829~cytosol,
ENSG00000131051	RNA binding motif protein 39(RBM39)	Homo sapiens	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005815~microtubule organizing center,GO:0015630~microtubule cytoskeleton,GO:0016607~nuclear speck,
ENSG00000126254	RNA binding motif protein 42(RBM42)	Homo sapiens	GO:0005634~nucleus,GO:0005737~cytoplasm,
ENSG00000177483	RNA binding motif protein 44(RBM44)	Homo sapiens	GO:0005737~cytoplasm,GO:0045171~intercellular bridge,
ENSG00000163694	RNA binding motif protein 47(RBM47)	Homo sapiens	GO:0005634~nucleus,
ENSG00000173914	RNA binding motif protein 4B(RBM4B)	Homo sapiens	GO:0005730~nucleolus,
ENSG00000003756	RNA binding motif protein 5(RBM5)	Homo sapiens	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005681~spliceosomal complex,
ENSG00000004534	RNA binding motif protein 6(RBM6)	Homo sapiens	GO:0005634~nucleus,
ENSG00000076053	RNA binding motif protein 7(RBM7)	Homo sapiens	GO:0005634~nucleus,GO:0005654~nucleoplasm,
ENSG00000213516	RNA binding motif protein, X-linked like 1(RBMXL1)	Homo sapiens	GO:0005634~nucleus,GO:0030529~intracellular ribonucleoprotein complex,
ENSG00000147274	RNA binding motif protein, X-linked(RBMX)	Homo sapiens	GO:0005615~extracellular space,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005719~nuclear euchromatin,GO:0016020~membrane,GO:0030529~intracellular ribonucleoprotein complex,GO:0044530~supraspliceosomal complex,GO:0070062~extracellular exosome,GO:0071013~catalytic step 2 spliceosome,
ENSG00000076067	RNA binding motif single stranded interacting protein 2(RBMS2)	Homo sapiens	GO:0005634~nucleus,
ENSG00000144642	RNA binding motif single stranded interacting protein 3(RBMS3)	Homo sapiens	GO:0005737~cytoplasm,
ENSG00000157110	RNA binding protein with multiple splicing(RBPMS)	Homo sapiens	GO:0000932~cytoplasmic mRNA processing body,GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0010494~cytoplasmic stress granule,
ENSG00000205937	RNA binding protein with serine rich domain 1(RNPS1)	Homo sapiens	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0016607~nuclear speck,GO:0035145~exon-exon junction complex,GO:0061574~ASAP complex,
ENSG00000078328	RNA binding protein, fox-1 homolog 1(RBFOX1)	Homo sapiens	GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005802~trans-Golgi network,
ENSG00000100320	RNA binding protein, fox-1 homolog 2(RBFOX2)	Homo sapiens	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005737~cytoplasm,
ENSG00000167281	RNA binding protein, fox-1 homolog 3(RBFOX3)	Homo sapiens	GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0043204~perikaryon,
ENSG00000185946	RNA binding region (RNP1, RRM) containing 3(RNPC3)	Homo sapiens	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005689~U12-type spliceosomal complex,
ENSG00000101654	RNA guanine-7 methyltransferase(RNMT)	Homo sapiens	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005730~nucleolus,GO:0005845~mRNA cap binding complex,GO:0043235~receptor complex,
ENSG00000111880	RNA guanylyltransferase and 5'-phosphatase(RNGTT)	Homo sapiens	GO:0005634~nucleus,GO:0005654~nucleoplasm,
ENSG00000068654	RNA polymerase I subunit A(POLR1A)	Homo sapiens	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005730~nucleolus,GO:0005736~DNA-directed RNA polymerase I complex,GO:0005737~cytoplasm,
ENSG00000171453	RNA polymerase I subunit C(POLR1C)	Homo sapiens	GO:0005654~nucleoplasm,GO:0005666~DNA-directed RNA polymerase III complex,GO:0005736~DNA-directed RNA polymerase I complex,GO:0005829~cytosol,
ENSG00000186184	RNA polymerase I subunit D(POLR1D)	Homo sapiens	GO:0005654~nucleoplasm,GO:0005666~DNA-directed RNA polymerase III complex,GO:0005736~DNA-directed RNA polymerase I complex,GO:0005829~cytosol,
ENSG00000103932	RNA polymerase II associated protein 1(RPAP1)	Homo sapiens	GO:0005634~nucleus,
ENSG00000005175	RNA polymerase II associated protein 3(RPAP3)	Homo sapiens	GO:0097255~R2TP complex,
ENSG00000181222	RNA polymerase II subunit A(POLR2A)	Homo sapiens	GO:0000974~Prp19 complex,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005665~DNA-directed RNA polymerase II, core complex,GO:0005719~nuclear euchromatin,GO:0005730~nucleolus,
ENSG00000047315	RNA polymerase II subunit B(POLR2B)	Homo sapiens	GO:0000784~nuclear chromosome, telomeric region,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005665~DNA-directed RNA polymerase II, core complex,GO:0016020~membrane,
ENSG00000102978	RNA polymerase II subunit C(POLR2C)	Homo sapiens	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005665~DNA-directed RNA polymerase II, core complex,GO:0005737~cytoplasm,GO:0015630~microtubule cytoskeleton,
ENSG00000144231	RNA polymerase II subunit D(POLR2D)	Homo sapiens	GO:0000932~cytoplasmic mRNA processing body,GO:0005622~intracellular,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005665~DNA-directed RNA polymerase II, core complex,
ENSG00000099817	RNA polymerase II subunit E(POLR2E)	Homo sapiens	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005665~DNA-directed RNA polymerase II, core complex,GO:0005666~DNA-directed RNA polymerase III complex,GO:0005736~DNA-directed RNA polymerase I complex,GO:0005829~cytosol,
ENSG00000168002	RNA polymerase II subunit G(POLR2G)	Homo sapiens	GO:0000932~cytoplasmic mRNA processing body,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005665~DNA-directed RNA polymerase II, core complex,
ENSG00000005075	RNA polymerase II subunit J(POLR2J)	Homo sapiens	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005665~DNA-directed RNA polymerase II, core complex,
ENSG00000267645, ENSG00000228049	RNA polymerase II subunit J2(POLR2J2)	Homo sapiens	GO:0005665~DNA-directed RNA polymerase II, core complex,
ENSG00000147669	RNA polymerase II subunit K(POLR2K)	Homo sapiens	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005665~DNA-directed RNA polymerase II, core complex,GO:0005666~DNA-directed RNA polymerase III complex,GO:0005736~DNA-directed RNA polymerase I complex,GO:0005829~cytosol,
ENSG00000148606	RNA polymerase III subunit A(POLR3A)	Homo sapiens	GO:0005654~nucleoplasm,GO:0005666~DNA-directed RNA polymerase III complex,GO:0005829~cytosol,GO:0016020~membrane,
ENSG00000186141	RNA polymerase III subunit C(POLR3C)	Homo sapiens	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005666~DNA-directed RNA polymerase III complex,GO:0005829~cytosol,
ENSG00000168495	RNA polymerase III subunit D(POLR3D)	Homo sapiens	GO:0000790~nuclear chromatin,GO:0005654~nucleoplasm,GO:0005666~DNA-directed RNA polymerase III complex,GO:0005829~cytosol,
ENSG00000132664	RNA polymerase III subunit F(POLR3F)	Homo sapiens	GO:0005654~nucleoplasm,GO:0005666~DNA-directed RNA polymerase III complex,GO:0005829~cytosol,
ENSG00000113356	RNA polymerase III subunit G(POLR3G)	Homo sapiens	GO:0000790~nuclear chromatin,GO:0005654~nucleoplasm,GO:0005666~DNA-directed RNA polymerase III complex,GO:0005829~cytosol,
ENSG00000161980	RNA polymerase III subunit K(POLR3K)	Homo sapiens	GO:0005654~nucleoplasm,GO:0005666~DNA-directed RNA polymerase III complex,GO:0005730~nucleolus,GO:0005829~cytosol,
ENSG00000099821	RNA polymerase mitochondrial(POLRMT)	Homo sapiens	GO:0005739~mitochondrion,GO:0005759~mitochondrial matrix,GO:0042645~mitochondrial nucleoid,
ENSG00000007376	RNA pseudouridylate synthase domain containing 1(RPUSD1)	Homo sapiens	GO:0005739~mitochondrion,
ENSG00000156990	RNA pseudouridylate synthase domain containing 3(RPUSD3)	Homo sapiens	GO:0005739~mitochondrion,
ENSG00000165526	RNA pseudouridylate synthase domain containing 4(RPUSD4)	Homo sapiens	GO:0005739~mitochondrion,
ENSG00000120158	RNA terminal phosphate cyclase like 1(RCL1)	Homo sapiens	GO:0005654~nucleoplasm,GO:0005730~nucleolus,
ENSG00000161939	RNASEK-C17orf49 readthrough(RNASEK-C17orf49)	Homo sapiens	GO:0016021~integral component of membrane,GO:0016589~NURF complex,GO:0071339~MLL1 complex,
ENSG00000249884	RNF103-CHMP3 readthrough(RNF103-CHMP3)	Homo sapiens	GO:0000815~ESCRT III complex,GO:0005622~intracellular,GO:0005770~late endosome,GO:0005829~cytosol,GO:0005886~plasma membrane,GO:0016023~cytoplasmic, membrane-bounded vesicle,GO:0031902~late endosome membrane,GO:0070062~extracellular exosome,
ENSG00000270800	RPS10-NUDT3 readthrough(RPS10-NUDT3)	Homo sapiens	GO:0022627~cytosolic small ribosomal subunit,
ENSG00000164327	RPTOR independent companion of MTOR complex 2(RICTOR)	Homo sapiens	GO:0005829~cytosol,GO:0031932~TORC2 complex,
ENSG00000088320	RRAD and GEM like GTPase 1(REM1)	Homo sapiens	GO:0005622~intracellular,GO:0016020~membrane,
ENSG00000139890	RRAD and GEM like GTPase 2(REM2)	Homo sapiens	GO:0005622~intracellular,GO:0005886~plasma membrane,GO:0016020~membrane,
ENSG00000026036	RTEL1-TNFRSF6B readthrough (NMD candidate)(RTEL1-TNFRSF6B)	Homo sapiens	GO:0005634~nucleus,
ENSG00000137815	RTF1 homolog, Paf1/RNA polymerase II complex component(RTF1)	Homo sapiens	GO:0005730~nucleolus,GO:0016593~Cdc73/Paf1 complex,
ENSG00000176783	RUN and FYVE domain containing 1(RUFY1)	Homo sapiens	GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0031901~early endosome membrane,GO:0043231~intracellular membrane-bounded organelle,
ENSG00000204130	RUN and FYVE domain containing 2(RUFY2)	Homo sapiens	GO:0005634~nucleus,
ENSG00000018189	RUN and FYVE domain containing 3(RUFY3)	Homo sapiens	GO:0005737~cytoplasm,GO:0012505~endomembrane system,GO:0016020~membrane,GO:0030027~lamellipodium,GO:0030054~cell junction,GO:0030175~filopodium,GO:0030424~axon,GO:0030425~dendrite,GO:0030426~growth cone,GO:0043204~perikaryon,GO:0071437~invadopodium,
ENSG00000160753	RUN and SH3 domain containing 1(RUSC1)	Homo sapiens	GO:0005634~nucleus,GO:0005769~early endosome,GO:0005794~Golgi apparatus,GO:0005874~microtubule,GO:0014069~postsynaptic density,GO:0015630~microtubule cytoskeleton,GO:0016023~cytoplasmic, membrane-bounded vesicle,GO:0030054~cell junction,GO:0031410~cytoplasmic vesicle,GO:0045211~postsynaptic membrane,
ENSG00000198853	RUN and SH3 domain containing 2(RUSC2)	Homo sapiens	GO:0005829~cytosol,GO:0031410~cytoplasmic vesicle,GO:0070062~extracellular exosome,
ENSG00000198863	RUN domain containing 1(RUNDC1)	Homo sapiens	GO:0005622~intracellular,GO:0012505~endomembrane system,
ENSG00000108309	RUN domain containing 3A(RUNDC3A)	Homo sapiens	GO:0005829~cytosol,GO:0005886~plasma membrane,
ENSG00000079102	RUNX1 translocation partner 1(RUNX1T1)	Homo sapiens	GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0005739~mitochondrion,GO:0016363~nuclear matrix,
ENSG00000122481	RWD domain containing 3(RWDD3)	Homo sapiens	GO:0005634~nucleus,GO:0005737~cytoplasm,
ENSG00000105404	Rab acceptor 1(RABAC1)	Homo sapiens	GO:0005794~Golgi apparatus,GO:0005886~plasma membrane,GO:0008021~synaptic vesicle,GO:0016020~membrane,GO:0016021~integral component of membrane,GO:0030054~cell junction,
ENSG00000100949	Rab geranylgeranyltransferase alpha subunit(RABGGTA)	Homo sapiens	GO:0005886~plasma membrane,GO:0005968~Rab-protein geranylgeranyltransferase complex,
ENSG00000167705	Rab interacting lysosomal protein(RILP)	Homo sapiens	GO:0005739~mitochondrion,GO:0005764~lysosome,GO:0005765~lysosomal membrane,GO:0005770~late endosome,GO:0005829~cytosol,GO:0030670~phagocytic vesicle membrane,GO:0031902~late endosome membrane,GO:0036064~ciliary basal body,GO:0043234~protein complex,
ENSG00000161800	Rac GTPase activating protein 1(RACGAP1)	Homo sapiens	GO:0001669~acrosomal vesicle,GO:0005622~intracellular,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0005874~microtubule,GO:0030496~midbody,GO:0031234~extrinsic component of cytoplasmic side of plasma membrane,GO:0032154~cleavage furrow,GO:0051233~spindle midzone,GO:0070062~extracellular exosome,GO:0072686~mitotic spindle,GO:0097149~centralspindlin complex,
ENSG00000129675	Rac/Cdc42 guanine nucleotide exchange factor 6(ARHGEF6)	Homo sapiens	GO:0005622~intracellular,GO:0005829~cytosol,GO:0030027~lamellipodium,
ENSG00000132155	Raf-1 proto-oncogene, serine/threonine kinase(RAF1)	Homo sapiens	GO:0005622~intracellular,GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005741~mitochondrial outer membrane,GO:0005794~Golgi apparatus,GO:0005829~cytosol,GO:0005886~plasma membrane,GO:0031143~pseudopodium,
ENSG00000136828	Ral GEF with PH domain and SH3 binding motif 1(RALGPS1)	Homo sapiens	GO:0005622~intracellular,GO:0005737~cytoplasm,GO:0005886~plasma membrane,
ENSG00000116191	Ral GEF with PH domain and SH3 binding motif 2(RALGPS2)	Homo sapiens	GO:0005622~intracellular,GO:0005737~cytoplasm,GO:0005886~plasma membrane,
ENSG00000174373	Ral GTPase activating protein catalytic alpha subunit 1(RALGAPA1)	Homo sapiens	GO:0005634~nucleus,GO:0005737~cytoplasm,
ENSG00000188559	Ral GTPase activating protein catalytic alpha subunit 2(RALGAPA2)	Homo sapiens	GO:0005615~extracellular space,GO:0005737~cytoplasm,GO:0005886~plasma membrane,
ENSG00000100401	Ran GTPase activating protein 1(RANGAP1)	Homo sapiens	GO:0000776~kinetochore,GO:0000777~condensed chromosome kinetochore,GO:0000922~spindle pole,GO:0005635~nuclear envelope,GO:0005643~nuclear pore,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0005913~cell-cell adherens junction,GO:0030425~dendrite,GO:0031965~nuclear membrane,GO:0043231~intracellular membrane-bounded organelle,GO:0044614~nuclear pore cytoplasmic filaments,GO:0072686~mitotic spindle,GO:1904115~axon cytoplasm,GO:1990723~cytoplasmic periphery of the nuclear pore complex,
ENSG00000157927	Rap associating with DIL domain(RADIL)	Homo sapiens	GO:0005874~microtubule,
ENSG00000107263	Rap guanine nucleotide exchange factor 1(RAPGEF1)	Homo sapiens	GO:0005622~intracellular,GO:0005768~endosome,GO:0005769~early endosome,GO:0005829~cytosol,
